WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Batati,0.3661365696629672,0.2102341841075584,0.45823580088926985,0.5276432565601443,0.7756448733418557,0.619742487786447,0.3680046701102233,0.5333390812980309,0.42940415759442513,0.641010205896149,0.4929395287247071
Beji,0.3975653307263004,0.41856019892525176,0.508129659402457,0.35691246027362533,0.4464819207508306,0.46747678894978195,0.3910126633083925,0.4507256369598627,0.46472221575916356,0.42362372332474596,0.4325210598380412
Beni,0.512775501902611,0.28637299649257264,0.41207576397266915,0.7075292799504935,0.8332320474305901,0.6068295420205516,0.5022259261152257,0.5860277711019567,0.4350927674952645,0.7158636231338784,0.5598025219615813
Beri,0.5567963419592461,0.5327450408665133,0.5992021805053547,0.557576944202413,0.6240340838412544,0.5999827827485216,0.5490394423427242,0.5933442021019517,0.5773100013734632,0.5938646035973963,0.5783895623538838
Birnin Maza,0.4400148307511716,0.3004226097778896,0.4417983901922807,0.5088223994506348,0.6501981798650259,0.5106059588917439,0.4164199466598986,0.5106704669361594,0.4176089862873047,0.5565421794024682,0.47531039482145776
Bisanti,0.36501369257048266,0.4929663197629456,0.5239389682047859,0.45345388527847436,0.4844265337203147,0.6123791609127776,0.4371446325373009,0.45779306483186105,0.543094816293503,0.5167531933038555,0.48869642674163016
Bobi,0.5159603711170123,0.5805959406925609,0.5611508930479662,0.5639766807263169,0.544531633081722,0.6091672026572708,0.5535109975119634,0.5405476324155668,0.5836380121325992,0.5725585054884366,0.5625637868871416
Bokani,0.35929617002368386,0.44486354859182153,0.4125911085838315,0.6631389314086602,0.6308664914006701,0.7164338699688078,0.4890995500080552,0.46758459000272845,0.5246295090481535,0.670146430926046,0.5378650199962458
Boku,0.44913738702755257,0.37350904940485746,0.5477232583589718,0.39417516823257964,0.568389377186694,0.4927610395639989,0.4056072015549965,0.5217500075244061,0.4713311157759428,0.4851085283277576,0.4709492132957757
Bono,0.4521962454936945,0.23479299809950804,0.36397801930824103,0.6257652837236568,0.7549503049323898,0.5375470575382033,0.43758484243895307,0.5237081899114417,0.37877269164865074,0.63942088206475,0.4948716515159489
Bosso 1,0.30371837174664995,0.12693306830300158,0.3500861594035061,0.18484049076125464,0.40799358186175916,0.23120827841811079,0.20516397693696872,0.35393270433730506,0.23607583537487284,0.27468078368037485,0.26746332508238035
Bosso 2 Central,0.3319352179482818,0.14827182968380742,0.34974814901716766,0.30909044546674336,0.5105667648001035,0.32690337653562923,0.2630991643662775,0.39741671058851774,0.27497445174553475,0.38218686226749204,0.3294192972419555
Boyi,0.5071140787487596,0.09193498184060579,0.40018900947996583,0.4788443297502063,0.7870983573895662,0.3719192604814125,0.3592977967798572,0.5648004818727639,0.288014417267328,0.5459539825403951,0.439516669615086
Bunsuru,0.3001162454744226,0.7053943367935529,0.6146589015958246,0.43051523688874765,0.33977980169101935,0.7450578930101496,0.47867527305224106,0.4181849829204222,0.6883703771331757,0.5051176438633055,0.5225870692422862
